Nro_Orden_Establecimiento;Periodo;IDDEPTO;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826740;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297826883;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297826884;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297826885;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297826901;2013;54;3;Bucaramanga;10;Cúcuta;99;5
297826747;2013;54;3;Bucaramanga;10;Cúcuta;99;5
452108;2013;25;5;Manizales;11;Ibagué;99;5
297826829;2013;73;5;Manizales;11;Ibagué;99;5
297818881;2013;73;5;Manizales;11;Ibagué;99;5
296914042;2013;25;2;Bogotá;2;Bogotá;99;5
297826886;2013;25;5;Manizales;11;Ibagué;99;5
452553;2013;25;5;Manizales;11;Ibagué;99;5
297826772;2013;73;5;Manizales;11;Ibagué;99;5
297826673;2013;73;5;Manizales;11;Ibagué;99;5
297718320;2013;25;2;Bogotá;2;Bogotá;99;5
299303282;2013;73;5;Manizales;11;Ibagué;99;5
297826947;2013;73;5;Manizales;11;Ibagué;99;5
2959356;2013;11;5;Manizales;11;Ibagué;99;5
296914033;2013;11;5;Manizales;11;Ibagué;99;5
297839488;2013;11;5;Manizales;11;Ibagué;99;5
297822615;2013;73;5;Manizales;11;Ibagué;99;5
297826644;2013;23;6;Medellín;12;Monteria;99;5
297826972;2013;41;2;Bogotá;13;Neiva;99;5
377622;2013;41;2;Bogotá;13;Neiva;99;5
297826505;2013;41;2;Bogotá;13;Neiva;99;5
297826918;2013;41;2;Bogotá;13;Neiva;99;5
297826954;2013;41;2;Bogotá;13;Neiva;99;5
458176;2013;41;2;Bogotá;13;Neiva;99;5
444031;2013;41;2;Bogotá;13;Neiva;99;5
299303377;2013;41;2;Bogotá;13;Neiva;99;5
377732;2013;52;4;Cali;14;Pasto;99;5
297839490;2013;52;4;Cali;14;Pasto;99;5
299303258;2013;52;4;Cali;14;Pasto;99;5
297826853;2013;52;4;Cali;14;Pasto;99;5
296886267;2013;52;4;Cali;14;Pasto;99;5
297838027;2013;52;4;Cali;14;Pasto;99;5
297820038;2013;86;4;Cali;14;Pasto;99;5
297823966;2013;86;4;Cali;14;Pasto;99;5
443904;2013;86;4;Cali;14;Pasto;99;5
452007;2013;86;4;Cali;14;Pasto;99;5
297822291;2013;86;4;Cali;14;Pasto;99;5
299303277;2013;86;4;Cali;14;Pasto;99;5
190072;2013;86;4;Cali;14;Pasto;99;5
