Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297730377;2015;2;Bogotá;17;Tunja;99;5
297730504;2015;6;Medellín;6;Medellín;99;5
297730506;2015;5;Manizales;11;Ibagué;99;5
297730507;2015;2;Bogotá;2;Bogotá;99;5
297838052;2015;4;Cali;4;Cali;99;5
296914052;2015;4;Cali;4;Cali;99;5
297826920;2015;4;Cali;4;Cali;99;5
452409;2015;4;Cali;4;Cali;99;5
297826959;2015;4;Cali;4;Cali;99;5
297824068;2015;4;Cali;4;Cali;99;5
306981;2015;4;Cali;4;Cali;99;5
297730524;2015;4;Cali;14;Pasto;99;5
297826764;2015;4;Cali;4;Cali;99;5
297826736;2015;4;Cali;4;Cali;99;5
297826872;2015;4;Cali;4;Cali;99;5
297826769;2015;4;Cali;4;Cali;99;5
297826768;2015;4;Cali;4;Cali;99;5
297827862;2015;4;Cali;4;Cali;99;5
455224;2015;4;Cali;4;Cali;99;5
297820355;2015;4;Cali;4;Cali;99;5
300037391;2015;4;Cali;4;Cali;99;5
10402258;2015;4;Cali;4;Cali;99;5
297820747;2015;4;Cali;4;Cali;99;5
3599085;2015;4;Cali;4;Cali;99;5
3875539;2015;4;Cali;15;Popayán;99;5
10402352;2015;4;Cali;4;Cali;99;5
10402353;2015;4;Cali;4;Cali;99;5
10402354;2015;4;Cali;4;Cali;99;5
299303283;2015;5;Manizales;5;Manizales;99;5
375000;2015;5;Manizales;5;Manizales;99;5
455637;2015;5;Manizales;5;Manizales;99;5
7070958;2015;5;Manizales;5;Manizales;99;5
297826773;2015;5;Manizales;5;Manizales;99;5
297822411;2015;5;Manizales;5;Manizales;99;5
297826671;2015;6;Medellín;6;Medellín;99;5
297826675;2015;6;Medellín;6;Medellín;99;5
297826976;2015;6;Medellín;6;Medellín;99;5
297718666;2015;6;Medellín;6;Medellín;99;5
452177;2015;6;Medellín;6;Medellín;99;5
297826851;2015;6;Medellín;6;Medellín;99;5
297718265;2015;6;Medellín;6;Medellín;99;5
296886274;2015;6;Medellín;6;Medellín;99;5
296886224;2015;6;Medellín;6;Medellín;99;5
299303330;2015;6;Medellín;6;Medellín;99;5
297826800;2015;6;Medellín;6;Medellín;99;5
297718269;2015;6;Medellín;6;Medellín;99;5
299303276;2015;6;Medellín;6;Medellín;99;5
446746;2015;6;Medellín;6;Medellín;99;5
296886259;2015;6;Medellín;6;Medellín;99;5
296886263;2015;6;Medellín;6;Medellín;99;5
375263;2015;6;Medellín;6;Medellín;99;5
297730508;2015;6;Medellín;6;Medellín;99;5
375941;2015;6;Medellín;6;Medellín;99;5
457974;2015;6;Medellín;6;Medellín;99;5
297826674;2015;6;Medellín;6;Medellín;99;5
297730522;2015;6;Medellín;6;Medellín;99;5
296886268;2015;6;Medellín;6;Medellín;99;5
297826643;2015;6;Medellín;6;Medellín;99;5
452356;2015;6;Medellín;6;Medellín;99;5
297718296;2015;6;Medellín;6;Medellín;99;5
299303378;2015;6;Medellín;6;Medellín;99;5
297826775;2015;6;Medellín;6;Medellín;99;5
297823526;2015;6;Medellín;6;Medellín;99;5
452330;2015;6;Medellín;6;Medellín;99;5
297718304;2015;6;Medellín;6;Medellín;99;5
297822869;2015;6;Medellín;6;Medellín;99;5
297823386;2015;6;Medellín;6;Medellín;99;5
297823000;2015;6;Medellín;6;Medellín;99;5
297823579;2015;6;Medellín;6;Medellín;99;5
297823739;2015;6;Medellín;6;Medellín;99;5
452170;2015;6;Medellín;6;Medellín;99;5
452474;2015;6;Medellín;6;Medellín;99;5
297823606;2015;6;Medellín;6;Medellín;99;5
297718335;2015;6;Medellín;6;Medellín;99;5
443827;2015;6;Medellín;6;Medellín;99;5
2506951;2015;6;Medellín;6;Medellín;99;5
297823428;2015;6;Medellín;6;Medellín;99;5
10213099;2015;6;Medellín;6;Medellín;99;5
297718344;2015;6;Medellín;6;Medellín;99;5
297839768;2015;6;Medellín;6;Medellín;99;5
297718343;2015;6;Medellín;6;Medellín;99;5
299303370;2015;6;Medellín;6;Medellín;99;5
297819344;2015;6;Medellín;6;Medellín;99;5
297823165;2015;6;Medellín;6;Medellín;99;5
299381137;2015;6;Medellín;6;Medellín;99;5
10400083;2015;6;Medellín;6;Medellín;99;5
10400084;2015;3;Bucaramanga;10;Cúcuta;99;5
10400085;2015;6;Medellín;6;Medellín;99;5
10400086;2015;6;Medellín;6;Medellín;99;5
10603626;2015;6;Medellín;6;Medellín;99;5
10603627;2015;6;Medellín;6;Medellín;99;5
10400089;2015;6;Medellín;6;Medellín;99;5
10400092;2015;6;Medellín;6;Medellín;99;5
10400093;2015;6;Medellín;6;Medellín;99;5
10400094;2015;4;Cali;4;Cali;99;5
451490;2015;5;Manizales;7;Pereira;99;5
297839503;2015;5;Manizales;7;Pereira;99;5
452201;2015;5;Manizales;7;Pereira;99;5
297826921;2015;5;Manizales;7;Pereira;99;5
297730463;2015;5;Manizales;7;Pereira;99;5
297826808;2015;5;Manizales;7;Pereira;99;5
297822881;2015;5;Manizales;7;Pereira;99;5
462275;2015;5;Manizales;7;Pereira;99;5
297824139;2015;5;Manizales;7;Pereira;99;5
452303;2015;5;Manizales;7;Pereira;99;5
10400096;2015;5;Manizales;7;Pereira;99;5
10400097;2015;5;Manizales;7;Pereira;99;5
10700549;2015;5;Manizales;7;Pereira;99;5
10700550;2015;5;Manizales;7;Pereira;99;5
10700551;2015;5;Manizales;7;Pereira;99;5
10700552;2015;5;Manizales;7;Pereira;99;5
10700553;2015;5;Manizales;7;Pereira;99;5
10700554;2015;5;Manizales;7;Pereira;99;5
455706;2015;5;Manizales;8;Armenia;99;5
297826721;2015;5;Manizales;8;Armenia;99;5
297826720;2015;5;Manizales;8;Armenia;99;5
297826981;2015;5;Manizales;8;Armenia;99;5
10800208;2015;5;Manizales;8;Armenia;99;5
298581;2015;5;Manizales;8;Armenia;99;5
10800251;2015;5;Manizales;8;Armenia;99;5
299303359;2015;5;Manizales;8;Armenia;99;5
10800346;2015;5;Manizales;8;Armenia;99;5
297826797;2015;1;Barranquilla;9;Cartagena;99;5
297827001;2015;1;Barranquilla;9;Cartagena;99;5
80207;2015;1;Barranquilla;22;San Andrés;99;5
9815993;2015;1;Barranquilla;16;Santa Marta;99;5
9815995;2015;1;Barranquilla;22;San Andrés;99;5
296914001;2015;1;Barranquilla;9;Cartagena;99;5
296914050;2015;1;Barranquilla;22;San Andrés;99;5
297826809;2015;1;Barranquilla;9;Cartagena;99;5
297826810;2015;1;Barranquilla;9;Cartagena;99;5
299303286;2015;1;Barranquilla;9;Cartagena;99;5
297826876;2015;1;Barranquilla;9;Cartagena;99;5
297826879;2015;1;Barranquilla;9;Cartagena;99;5
296886257;2015;1;Barranquilla;9;Cartagena;99;5
297827968;2015;1;Barranquilla;9;Cartagena;99;5
296886212;2015;1;Barranquilla;9;Cartagena;99;5
