Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;TOTALGAA;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;CREE;CREE_B;CREE_SALUD;CREE_SALUD_B;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
9807355;2015;0;0;9600;0;0;0;0;9600; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;161;0;0;0;4;1;9;0;174;1;155794;3070819;648752;0;485125;165236;0;59280;469754;5054760;485124;42000;0;0;0;1;1;0;0;0;42002;0;1;174185;1;174185;1;2;Bogotá;2;Bogotá;99;5
297826832;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ;b;01/04/2014;31/03/2016;0;0;44;0;0;0;0;0;2;0;46;0;0;764646;310837;0;106390;34930;0;13617;26486;1256906;0;0;0;0;0;0;0;0;0;0;0;0;0;58270; ;58270; ;2;Bogotá;2;Bogotá;99;5
297826833;2015;0;0;0;0;0;0;0;0; ;b;22/01/2007;24/07/2016; ; ; ; ; ;b;26/01/2015;26/01/2018; ;b;28/11/2006;29/09/2016;0;0;178;0;0;0;51;0;9;0;238;0;0;3005590;764655;0;487626;164422;0;52389;550188;5024870;741150;0;0;0;0;0;0;0;0;0;0;0;0;154945; ; ; ;2;Bogotá;2;Bogotá;99;5
297826834;2015;0;0;0;490;0;0;0;490; ; ; ; ; ; ; ; ; ;b;12/02/2015;12/02/2018; ;b;12/02/2015;12/02/2018;0;0;163;1;0;0;26;0;10;0;199;1;0;2685426;653535;0;405100;122381;0;62050;177030;4105522;576464;0;19986;4363;0;3315;966;0;0;0;28630;0;0;6868;6868;6868; ;2;Bogotá;2;Bogotá;99;5
452129;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;14;0;0;0;0;0;1;0;15;0;0;202155;40696;0;29932;9451;0;4000;8775;295009;0;0;0;0;0;0;0;0;0;0;0;0;0;2095; ;2095; ;2;Bogotá;2;Bogotá;99;5
9807356;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;13;0;0;0;0;0;1;0;14;0;0;188678;37983;0;27937;8821;0;4000;8190;275609;0;0;0;0;0;0;0;0;0;0;0;0;0;1995; ;1995; ;2;Bogotá;2;Bogotá;99;5
9807357;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;17;0;0;0;0;0;0;0;17;0;0;242586;48836;0;28919;5341;0;0;5530;331212;0;0;0;0;0;0;0;0;0;0;0;0;0;2514; ;2514; ;2;Bogotá;2;Bogotá;99;5
297826941;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;25;0;0;0;1;0;2;0;29;0;119826;299666;79272;0;4626;39308;0;8000;14550;565248;11350;0;0;0;0;0;0;0;0;0;0;0;0; ; ;19090; ;2;Bogotá;2;Bogotá;99;5
297826946;2015;0;0;0;150;0;0;0;150; ; ; ; ; ; ; ; ; ;b;05/11/2013;04/11/2016; ;b;05/11/2013;04/11/2016;0;0;80;10;0;0;0;0;5;0;85;10;0;1500000;581250;0;261458;105000;0;33700;0;2481408;0;0;44000;17050;0;7669;3080;0;0;0;71799;0;0; ; ; ; ;2;Bogotá;2;Bogotá;99;5
297826982;2015;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;08/02/2016;07/02/2019; ;b;08/02/2016;07/02/2019;3;0;6;0;63;1;0;0;3;1;75;2;0;263392;92186;1107197;154508;48049;0;20640;52612;1738584;0;0;0;0;16800;1512;1040;0;7732;0;27084;0;0;44751; ;44751;44751;2;Bogotá;2;Bogotá;99;5
