Nro_Orden_Establecimiento;Periodo;INSERTOT;Sede;Subsede;NOVEDAD;ESTADO
297826808;2012;1531276;Manizales;Pereira;99;5
444234;2012;562269;Manizales;Pereira;99;5
297822881;2012;826152;Manizales;Pereira;99;5
442868;2012;322546;Cali;Pasto;99;5
452303;2012;700769;Manizales;Pereira;99;5
455706;2012;3015877;Manizales;Armenia;99;5
297826721;2012;4993169;Manizales;Armenia;99;5
297826720;2012;1470701;Manizales;Armenia;99;5
297826981;2012;13184815;Manizales;Armenia;99;5
455775;2012;798012;Manizales;Armenia;99;5
298581;2012;1138759;Manizales;Armenia;99;5
297826797;2012;29393135;Barranquilla;Cartagena;99;5
297827001;2012;15557153;Barranquilla;Cartagena;99;5
9815993;2012;23223064;Barranquilla;Santa Marta;99;5
9815995;2012;13190559;Barranquilla;San Andrés;99;5
296914001;2012;53708967;Barranquilla;Cartagena;99;5
296914050;2012;29408130;Barranquilla;San Andrés;99;5
297826809;2012;38455454;Barranquilla;Cartagena;99;5
297826810;2012;19848420;Barranquilla;Cartagena;99;5
299303286;2012;2474529;Barranquilla;Cartagena;99;5
297826876;2012;21190028;Barranquilla;Cartagena;99;5
297826879;2012;65007282;Barranquilla;Cartagena;99;5
296886257;2012;17865442;Barranquilla;Cartagena;99;5
297827968;2012;27484525;Barranquilla;Cartagena;99;5
296886212;2012;4433469;Barranquilla;Cartagena;99;5
297826719;2012;771374;Barranquilla;Cartagena;99;5
297718273;2012;1620593;Barranquilla;Cartagena;99;5
297826971;2012;1929479;Barranquilla;Cartagena;99;5
297826877;2012;1817323;Barranquilla;Cartagena;99;5
441879;2012;2272508;Barranquilla;Cartagena;99;5
312167;2012;3582135;Barranquilla;Cartagena;99;5
9816010;2012;1709664;Barranquilla;Cartagena;99;5
374311;2012;422063;Barranquilla;Cartagena;99;5
297718327;2012;8947430;Barranquilla;Cartagena;99;5
297820391;2012;8108190;Barranquilla;Cartagena;99;5
297818576;2012;17205204;Barranquilla;Cartagena;99;5
299303292;2012;642495;Barranquilla;Cartagena;99;5
299303278;2012;1666265;Barranquilla;Cartagena;99;5
452424;2012;7589654;Barranquilla;Cartagena;99;5
441848;2012;2628499;Barranquilla;Cartagena;99;5
394535;2012;2026918;Barranquilla;Cartagena;99;5
409328;2012;943992;Barranquilla;Cartagena;99;5
441881;2012;2053283;Barranquilla;Cartagena;99;5
297822760;2012;3160875;Barranquilla;Cartagena;99;5
9798639;2012;1755959;Barranquilla;Cartagena;99;5
406282;2012;3784141;Barranquilla;Cartagena;99;5
441855;2012;1343293;Barranquilla;Cartagena;99;5
297826740;2012;2848858;Bucaramanga;Cúcuta;99;5
297826883;2012;5639319;Bucaramanga;Cúcuta;99;5
297826884;2012;3588053;Bucaramanga;Cúcuta;99;5
297826885;2012;3017961;Bucaramanga;Cúcuta;99;5
297826901;2012;4786011;Bucaramanga;Cúcuta;99;5
297826747;2012;1088386;Bucaramanga;Cúcuta;99;5
452108;2012;9085215;Manizales;Ibagué;99;5
297826829;2012;987424;Manizales;Ibagué;99;5
297818881;2012;1624473;Manizales;Ibagué;99;5
296914042;2012;4237700;Bogotá;Bogotá;99;5
297826886;2012;2342482;Manizales;Ibagué;99;5
452553;2012;1638480;Manizales;Ibagué;99;5
297826772;2012;1172819;Manizales;Ibagué;99;5
297826673;2012;2248449;Manizales;Ibagué;99;5
297718320;2012;1466250;Bogotá;Bogotá;99;5
299303282;2012;1305235;Manizales;Ibagué;99;5
297826947;2012;3335265;Manizales;Ibagué;99;5
449238;2012;129166;Bogotá;Villavicencio;99;5
2959356;2012;17033149;Manizales;Ibagué;99;5
296914033;2012;11265336;Manizales;Ibagué;99;5
297839488;2012;6081450;Manizales;Ibagué;99;5
297822615;2012;1418745;Manizales;Ibagué;99;5
297826644;2012;449107;Medellín;Monteria;99;5
297826972;2012;3400891;Bogotá;Neiva;99;5
377622;2012;4260464;Bogotá;Neiva;99;5
297826505;2012;1277021;Bogotá;Neiva;99;5
297826918;2012;1377065;Bogotá;Neiva;99;5
297826954;2012;884770;Bogotá;Neiva;99;5
458176;2012;696533;Bogotá;Neiva;99;5
444031;2012;1745349;Bogotá;Neiva;99;5
377732;2012;155735;Cali;Pasto;99;5
297839490;2012;1222801;Cali;Pasto;99;5
299303258;2012;1204655;Cali;Pasto;99;5
297826853;2012;2529149;Cali;Pasto;99;5
296886267;2012;1599454;Cali;Pasto;99;5
297838027;2012;875863;Cali;Pasto;99;5
297820038;2012;145722;Cali;Pasto;99;5
297823391;2012;71500;Cali;Pasto;99;5
297823966;2012;164250;Cali;Pasto;99;5
443904;2012;94900;Cali;Pasto;99;5
452007;2012;59940;Cali;Pasto;99;5
297822291;2012;76650;Cali;Pasto;99;5
299303277;2012;29200;Cali;Pasto;99;5
190072;2012;569216;Cali;Pasto;99;5
299304532;2012;32850;Cali;Pasto;99;5
297819287;2012;43800;Cali;Pasto;99;5
297820340;2012;8154;Cali;Pasto;99;5
297820632;2012;54648;Cali;Pasto;99;5
299303280;2012;43800;Cali;Pasto;99;5
297826952;2012;1022511;Cali;Popayán;99;5
296886217;2012;1409029;Barranquilla;Santa Marta;99;5
297826801;2012;11175420;Barranquilla;Santa Marta;99;5
297826802;2012;1430532;Barranquilla;Santa Marta;99;5
297826803;2012;2811902;Barranquilla;Santa Marta;99;5
297838055;2012;24100205;Barranquilla;Santa Marta;99;5
9816056;2012;9062032;Barranquilla;Santa Marta;99;5
9816058;2012;1456072;Barranquilla;Santa Marta;99;5
297826804;2012;2634559;Barranquilla;Santa Marta;99;5
441237;2012;2271582;Barranquilla;Santa Marta;99;5
441867;2012;4292805;Barranquilla;Santa Marta;99;5
297826653;2012;1517228;Barranquilla;Santa Marta;99;5
412206;2012;1047729;Barranquilla;Santa Marta;99;5
297839770;2012;5322930;Barranquilla;Santa Marta;99;5
297823689;2012;1379021;Barranquilla;Santa Marta;99;5
378399;2012;1826653;Bogotá;Tunja;99;5
296886273;2012;2411648;Bogotá;Tunja;99;5
452209;2012;4467256;Bogotá;Tunja;99;5
297839496;2012;1027687;Bogotá;Tunja;99;5
297827967;2012;5350376;Bogotá;Tunja;99;5
297827223;2012;867233;Bogotá;Tunja;99;5
452242;2012;2520147;Bogotá;Tunja;99;5
297826805;2012;1991329;Bogotá;Villavicencio;99;5
297718278;2012;2418997;Bogotá;Villavicencio;99;5
297826874;2012;4084345;Bogotá;Villavicencio;99;5
297826880;2012;2458927;Bogotá;Villavicencio;99;5
297823318;2012;1775970;Bogotá;Villavicencio;99;5
419955;2012;258862;Bogotá;Villavicencio;99;5
297717022;2012;2191656;Bogotá;Villavicencio;99;5
359228;2012;2617851;Bogotá;Bogotá;99;5
297827893;2012;209042;Bogotá;Villavicencio;99;5
451486;2012;176667;Bogotá;Villavicencio;99;5
416445;2012;708243;Bogotá;Villavicencio;99;5
297822935;2012;2329853;Bogotá;Villavicencio;99;5
452022;2012;2232820;Bogotá;Villavicencio;99;5
297827069;2012;1301757;Bogotá;Villavicencio;99;5
445035;2012;334106;Bogotá;Villavicencio;99;5
297824171;2012;17300;Bogotá;Villavicencio;99;5
297819819;2012;104500;Bogotá;Villavicencio;99;5
119269;2012;517748;Bogotá;Yopal;99;5
297822942;2012;60932;Bogotá;Yopal;99;5
451546;2012;485267;Bogotá;Yopal;99;5
451479;2012;597511;Bogotá;Yopal;99;5
297821431;2012;319749;Bogotá;Yopal;99;5
451823;2012;28120;Bogotá;Yopal;99;5
