Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;C3RHA6cALL;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU;C3RHA7dTVPCA;Sede;Subsede;NOVEDAD;ESTADO
297826945;2012;0;0;0;0;22;0;0;0;0;22;4698;11040;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4698;11040;Bogotá;Bogotá;99;5
297838050;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0; ; ;0;120;0;01/01/2012;31/12/2013;120;0;0; ; ;0;120;0;380;0;Bogotá;Leticia;99;5
299303287;2012;0;0;0;0;16;0;0;0;0;16;3200;7758;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3200;7758;Bogotá;Bogotá;99;5
9815066;2012;0;0;0;0;7;0;0;0;0;7;1611;3819;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1611;3819;Bogotá;Bogotá;99;5
10209451;2012;0;0;0;0;2;0;0;0;0;2;481;1141;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;481;1141;Bogotá;Bogotá;99;5
297823688;2012;0;0;0;0;2;0;0;0;0;2;528;1266;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;528;1266;Bogotá;Bogotá;99;5
297821685;2012;0;0;947;0;3;0;0;0;0;3;579;1430;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;579;1430;Bogotá;Bogotá;99;5
450816;2012;0;0;140;0;21;0;0;0;0;21;4411;10552;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;4411;10552;Bogotá;Bogotá;99;5
74977;2012;0;0;0;0;9;0;0;0;0;9;1950;4680;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1950;4680;Bogotá;Bogotá;99;5
407032;2012;0;0;830;0;14;0;0;0;0;14;3243;8107;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3243;8107;Bogotá;Bogotá;99;5
297827928;2012;0;0;0;0;2;0;0;0;0;2;518;1263;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;518;1263;Bogotá;Bogotá;99;5
297824160;2012;0;0;0;0;8;0;0;0;0;8;2232;5239;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2232;5239;Bogotá;Bogotá;99;5
297834339;2012;0;0;0;0;0;0;0;0;0;0;120;291;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;120;291;Bogotá;Bogotá;99;5
297822959;2012;0;150;0;0;0;0;0;0;0;0;186;456;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;186;456;Bogotá;Bogotá;99;5
297822527;2012;0;0;0;0;7;0;0;0;0;7;1559;3820;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1559;3820;Bogotá;Bogotá;99;5
297826739;2012;0;0;0;0;27;0;0;0;0;27;5742;13551;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;5742;13551;Bogotá;Bogotá;99;5
297823552;2012;0;3500;0;0;5;0;0;0;0;5;1512;3664;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1512;3664;Bogotá;Bogotá;99;5
297822516;2012;0;0;0;0;6;0;0;0;0;6;1260;3087;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1260;3087;Bogotá;Bogotá;99;5
449312;2012;0;0;0;0;2;0;0;0;0;2;320;752;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;320;752;Bogotá;Bogotá;99;5
297825166;2012;0;0;0;0;1;0;0;0;0;1;163;395;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;163;395;Bogotá;Bogotá;99;5
297820854;2012;0;0;100;0;1;0;0;0;0;1;300;715;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;300;715;Bogotá;Bogotá;99;5
297823234;2012;0;0;0;0;1;0;0;0;0;1;241;590;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;241;590;Bogotá;Bogotá;99;5
297826977;2012;0;0;0;0;16;0;0;0;0;16;3080;7232;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;3080;7232;Bogotá;Bogotá;99;5
9807394;2012;0;0;0;0;13;0;0;0;0;13;2761;6488;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;2761;6488;Bogotá;Bogotá;99;5
297826749;2012;0;0;0;0;5;0;0;0;0;5;1375;3332;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;1375;3332;Bogotá;Bogotá;99;5
297823613;2012;0;0;0;0;3;0;0;0;0;3;774;1827;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;774;1827;Bogotá;Bogotá;99;5
297827058;2012;0;0;0;0;0;0;0;0;0;0;80;188;0;0;0;0;0;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;80;188;Bogotá;Bogotá;99;5
