Nro_Orden_Establecimiento;Periodo;C6GAA2ab;C6GAA1e;C6GAA2d;C6GAA2f;C6GAA2g;C6GAA2h;C6GAA2i;C6GAAB1a;C6GAAB1b;C6GAAB1c;C6GAAB1d;C6GAAB2a;C6GAAB2b;C6GAAB2c;C6GAAB2d;C6GAAB3a;C6GAAB3b;C6GAAB3c;C6GAAB3d;C6GAAB4a;C6GAAB4b;C6GAAB4c;C6GAAB4d;POTPSFR;C6AAC1d;POTPERM;C6AAC2d;POTTCDE;C6AAC3d;POTTCAG;C6AAC4d;POTPAU;C6AAC5d;POTTOT;C6AAC6dT;GPPSI;GPPER;GPPPSP;GPPPST;GPPCPO;GPPANO;GPPAVO;GPPGPA;GPPGPN;GPPTPOT;GPPPTA;C6AAC1bRPA;C6AAC2bRPA;C6AAC3bRPA;C6AAC4bRPA;C6AAC5bRPA;C6AAC6bRPA;C6AAC7bRPA;C6AAC8bRPA;C6AAC9bRPA;C6AAC10bTRPA;C6AAC11bRPA;C6AA12bPSAAA;Sede;Subsede;NOVEDAD;ESTADO
297730375;2012;700;700;700;150;150;0;0; ; ; ; ; ; ; ; ; ;b;25/09/2012;29/09/2015; ; ; ; ;0;0;25;1;0;0;0;0;0;0;25;1;0;210000;46200;0;46200;18900;0;0;0;321300;0;0;8400;1848;0;1848;756;0;0;0;12852;0;0;Medellín;Medellín;99;5
297730377;2012;0;0;0;0;0;0;0; ;b;29/06/2010;28/06/2015; ; ; ; ; ;b;29/06/2010;28/06/2015; ; ; ; ;0;0;64;0;40;0;30;0;6;0;140;0;84967;565431;137619;418271;226250;91382;0;25643;50266;1599829;323743;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Tunja;99;5
297730504;2012;400;400;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;25/09/2012;25/09/2015; ; ; ; ;0;0;75;0;2;0;0;0;0;0;77;0;0;1465390;350000;332630;338520;141000;0;0;7783;2635323;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297730506;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ;b;01/02/2012;28/02/2013; ; ; ; ;0;0;4;0;0;0;22;0;0;0;26;0;0;79000;17237;0;16607;7110;0;0;7200;127154;279066;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Ibagué;99;5
297730507;2012;0;0;0;1250;0;0;0; ; ; ; ; ; ; ; ; ;b;17/09/2012;02/11/2015; ; ; ; ;0;0;94;0;0;0;0;0;4;0;98;0;116861;951953;260723;0;258874;105102;0;22656;51060;1767229;0;0;0;0;0;0;0;0;0;0;0;0;0;Bogotá;Bogotá;99;5
297838052;2012;0;0;0;0;0;15733;CÁMARA DE COMERCIO CALI; ;b;22/11/2011;21/11/2014; ; ; ; ; ;b;07/10/2011;06/10/2014; ; ; ; ;0;0;229;1;0;0;42;0;12;0;283;1;419133;2435370;603721;0;647891;255807;37933;48070;135360;4583285;736875;0;10002;2183;0;1977;900;0;0;0;15062;0;0;Cali;Cali;99;5
296914052;2012;5040;0;0;0;0;6724;CAMARA COMERCIO CALI; ;b;22/09/2006;20/09/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;90;7;0;0;0;0;5;0;95;7;83750;2009801;490969;0;410962;194836;0;30261;71555;3292134;0;0;160784;39278;0;32877;15587;0;0;0;248526;0;0;Cali;Cali;99;5
297826920;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;51;0;0;0;11;0;3;0;65;0;0;564966;175863;0;125339;50875;0;12647;60258;989948;150124;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
446013;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;3;0;0;0;0;0;0;0;3;0;0;147575;41731;0;30668;11347;0;0;8258;239579;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
452409;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;12;0;0;0;0;0;0;0;12;0;0;535192;182916;0;116695;42836;0;0;32562;910201;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297826959;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;25;0;0;0;7;0;1;0;35;0;0;266244;58094;0;59609;23961;0;6375;15500;429783;2500000;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
306981;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;24;0;0;0;0;0;1;0;26;0;0;247053;54352;0;52459;22623;0;5101;22394;403982;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297730524;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;23;0;0;0;0;0;0;0;23;0;0;165600;33900;0;35100;15000;0;0;12500;262100;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Pasto;99;5
297826949;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;15;5;0;0;0;0;1;0;17;5;0;107385;23410;0;23063;9645;0;6800;12774;183077;0;0;18360;3979;0;4036;1693;0;0;2204;30272;0;0;Cali;Cali;99;5
297826764;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;25;0;0;0;0;0;1;0;28;0;0;238452;54680;0;54582;21782;0;5100;16043;390639;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297826736;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;32;0;0;0;0;0;1;0;33;0;0;248856;54188;0;53000;22949;0;5101;23370;407464;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297826872;2012;0;0;800;0;0;0;0; ;b;15/04/2009;14/04/2015; ; ; ; ; ; ; ; ; ; ; ; ;0;0;24;0;0;0;0;0;1;0;25;0;0;192447;48612;0;42940;17570;0;5781;23611;330961;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297826769;2012;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;35;0;0;0;0;0;1;0;36;0;0;412663;115245;0;86848;35823;0;3900;24902;679381;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297826768;2012;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ;a; ; ; ;0;0;29;0;0;0;10;0;0;0;39;0;0;243287;59381;0;51587;22640;0;0;20272;397167;566700;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297827862;2012;0;0;1000;1000;0;0;0;a; ; ; ; ; ; ; ;a; ; ; ; ; ; ; ;3;0;62;0;0;0;42;0;3;0;110;0;217046;1335596;338854;0;444885;157100;0;14607;0;2508088;773782;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
444764;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;22;0;0;0;0;0;0;0;23;0;0;213130;55194;0;48992;20397;0;0;12348;350061;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
455224;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;85;0;108;0;20;0;5;0;218;0;19818;1383276;338718;1321459;415144;184050;0;22990;20803;3706258;272878;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
297820355;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;0;0;0;0;0;60;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;912532;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
299304554;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;1;0;0;0;0;0;0;0;5;1;8500;1100;280;0;1955;765;0;0;0;12600;0;1200;0;0;0;221;85;0;0;0;1506;0;0;Cali;Cali;99;5
297822435;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;6;0;0;0;0;0;0;0;6;0;0;48921;9787;0;9607;4545;0;0;5311;78171;0;0;0;0;0;0;0;0;0;0;0;0;0;Cali;Cali;99;5
299303283;2012;0;0;0;3044;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;52;0;0;0;0;0;2;0;55;0;0;489065;112959;0;111087;45798;0;8793;38331;806033;0;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
375000;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;6;0;38;0;0;0;2;0;46;0;0;90546;21805;409659;95380;38733;0;9195;31868;697186;0;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
455637;2012;500;0;0;4500;0;0;0; ;b;30/11/2009;30/11/2012;a; ; ; ; ; ; ; ; ; ; ; ;0;0;61;0;0;0;0;0;1;1;62;1;0;599377;209546;0;152868;59239;0;4576;49133;1074739;0;0;0;0;0;0;0;0;4576;766;5342;0;0;Manizales;Manizales;99;5
7070958;2012;500;0;0;4500;0;0;0; ;b;30/11/2009;30/11/2012;a; ; ; ; ; ; ; ; ; ; ; ;0;0;61;0;0;0;0;0;0;0;61;0;0;599377;209546;0;152868;59239;0;0;49133;1070163;0;0;0;0;0;0;0;0;0;766;766;0;0;Manizales;Manizales;99;5
297826773;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;18;0;0;0;0;0;1;0;19;0;0;212594;48246;0;46138;19190;0;4306;0;330474;0;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
444122;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;8;0;0;0;0;0;0;0;8;0;0;60956;14253;0;12814;5486;0;0;6450;99959;0;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
452099;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;5;2;0;0;0;0;0;0;5;2;0;39519;8962;0;7912;3299;0;0;3903;63595;0;0;13600;3324;0;2858;1224;0;0;1627;22633;0;0;Manizales;Armenia;99;5
9800577;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;3;0;0;0;0;0;0;0;3;0;0;22309;5200;0;4753;2082;0;0;0;34344;0;0;0;0;0;0;0;0;0;0;0;0;0;Manizales;Manizales;99;5
452101;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;45;0;0;0;0;0;2;0;49;1;0;373070;82075;0;84977;34066;0;7923;99728;681839;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297826671;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;36;0;0;0;0;0;1;0;39;0;0;324545;78183;0;73652;30349;0;4833;21301;532863;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297718664;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;18;0;0;0;0;0;1;0;19;0;0;209162;45588;0;44246;17684;0;4703;9360;330743;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297826675;2012;0;0;0;0;0;2000;Policia Ambiental; ; ; ; ; ; ; ; ; ;b;25/04/2011;24/04/2014; ;b;25/04/2011;24/04/2014;0;0;53;2;0;0;8;0;3;0;64;2;0;715573;174282;0;163922;67134;0;14450;0;1135361;89317;0;180000;39600;0;53100;16200;0;0;0;288900;0;0;Medellín;Medellín;99;5
297826976;2012;0;0;0;0;0;0;0;a; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;42;0;33;0;10;0;3;0;88;0;0;586333;247020;339987;205089;77670;0;15031;45236;1516366;165115;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297718666;2012;0;0;0;0;0;0;0; ;b;28/03/2003;31/10/2012; ; ; ; ; ; ; ; ; ; ; ; ;0;0;35;0;0;0;1;0;0;0;36;0;0;480323;249768;0;108946;45973;0;0;43896;928906;22641;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
452177;2012;0;0;0;1100;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;21;0;0;0;0;0;1;0;22;0;0;200622;48522;0;46061;18195;0;6103;30946;350449;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297826851;2012;0;0;0;0;0;0;0;a; ; ; ;a; ; ; ;a; ; ; ;a; ; ; ;0;0;152;0;38;0;15;0;4;0;209;0;474281;1738148;426412;459872;520947;226047;0;20188;265324;4131219;953350;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297718265;2012;0;4888;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;78;0;1;0;0;0;3;0;82;0;76884;829278;286331;13040;200889;84201;0;16340;0;1506963;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
296886274;2012;0;13200;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;38;0;0;0;0;0;2;0;40;0;0;264480;57736;0;56863;23804;3840;13600;30916;451239;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
296886224;2012;0;0;0;1200;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;29;0;0;0;0;0;1;0;30;0;0;285568;61242;0;65168;25706;0;5124;33713;476521;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
299303330;2012;0;0;0;1200;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;41;0;0;0;0;0;3;0;44;0;0;397610;95017;0;91153;35791;0;15372;46939;681882;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
297826800;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;56;1;0;0;0;0;4;0;60;1;0;613800;160400;0;140000;63765;0;19604;34206;1031775;0;0;7200;3600;0;1152;504;0;0;0;12456;0;0;Medellín;Medellín;99;5
297718269;2012;0;0;0;0;0;0;0; ; ; ; ;a; ; ; ;a; ; ; ; ; ; ; ;0;0;1;0;87;0;14;0;5;0;107;0;0;78575;19114;1403223;276784;113485;0;24401;184403;2099985;133965;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
299303276;2012;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;25;0;0;0;187;0;0;0;212;0;0;1087354;241586;0;228823;97861;9665;0;0;1665289;3689430;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
446746;2012;0;0;0;0;0;0;0; ;b;30/10/2000;02/10/2013; ; ; ; ; ; ; ; ; ; ; ; ;0;0;24;0;6;0;10;0;0;0;40;0;0;361351;100000;60000;74620;31910;0;0;15410;643291;138000;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
296886259;2012;0;0;0;0;0;0;0; ;b;22/11/2000;28/11/2015; ; ; ; ; ; ; ; ; ; ; ; ;0;0;25;1;8;0;0;0;0;0;33;1;0;294989;86568;85821;71344;28231;0;0;17410;584363;0;0;8000;2000;0;2000;700;0;0;0;12700;0;0;Medellín;Medellín;99;5
296886263;2012;0;0;0;0;0;0;0; ;b;09/10/2012;16/10/2013;a; ; ; ; ; ; ; ;a; ; ; ;0;0;19;0;0;0;0;0;4;0;23;0;0;228776;49380;0;48989;20589;0;18376;12377;378487;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
296886264;2012;0;0;0;0;0;0;0; ;b;22/11/2000;28/11/2015; ; ; ; ; ; ; ; ; ; ; ; ;0;0;11;0;0;0;0;0;0;0;11;0;0;81840;18004;0;17186;7365;0;0;0;124395;0;0;0;0;0;0;0;0;0;0;0;0;0;Medellín;Medellín;99;5
