Nro_Orden_Establecimiento;Periodo;C3RHE1;C3RHE2;C3RHE5;PROGAHORR;TOTALARH;C3RHC1PTU;C3RHC4RCASUP;C3RHC5RCASUB;C3RHC6PMS;MULTABAS;C3RHC7TOGT;C3RHA1cAC;C3RHA1dAC;VOCONSBL;VACONSBLQ;C3RHA5cCT;C3RHA5dCT;VOLBOTLL;VRBOTLL;C3RHA6cALL;C3RHA7cTVU1;C3RHA7dTVPCA;C3RHA2aSUP;C3RHA2bSUP;FECHADESDESUP;FECHAHASTASUP;C3RHA2cSUP;C3RHA3aSUB;C3RHA3bSUB;FECHADESDESUB;FECHAHASTASUB;C3RHA3cSUB;C3RHA4aAM;C3RHA4bAM;FECHADESDEMAR;FECHAHASTAMAR;C3RHA4cAM;C3RHA7aTVC;C3RHA7bTPC;C3RHA7cTVU2;C3RHA7cTVU;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
452491;2014;0;0;0;0;0;48;0;0;0;0;48;7401;17222;0;0;0;0;0;0;0;7401;17222;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;7401;1;Barranquilla;9;Cartagena;99;5
9807355;2014;0;0;0;0;0;191;0;0;0;0;191;36000;93240;0;0;0;0;45;71000;0;36045;164240;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;36045;2;Bogotá;2;Bogotá;99;5
297826832;2014;0;0;0;0;0;32;0;0;0;0;32;6302;15826;0;0;0;0;0;0;0;6302;15826;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6302;2;Bogotá;2;Bogotá;99;5
297826833;2014;0;493850;0;0;493850;245;0;0;0;0;245;49051;123178;0;0;0;0;40;15642;0;49091;138820;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;49091;2;Bogotá;2;Bogotá;99;5
297826834;2014;0;1350;0;878;2228;125;0;0;0;0;125;24488;61344;0;0;0;0;7;3000;0;24495;64344;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;24495;2;Bogotá;2;Bogotá;99;5
452129;2014;0;0;560;0;560;206;0;0;0;0;206;8083;9080;0;0;0;0;0;0;0;8083;9080;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;8083;2;Bogotá;2;Bogotá;99;5
9807356;2014;0;0;1200;0;1200;15;0;0;0;0;15;3712;9654;0;0;0;0;0;0;0;3712;9654;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3712;2;Bogotá;2;Bogotá;99;5
9807357;2014;0;0;1000;0;1000;30;0;0;0;0;30;5730;14242;0;0;0;0;0;0;0;5730;14242;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;5730;2;Bogotá;2;Bogotá;99;5
297826941;2014;0;0;0;0;0;18;0;0;0;0;18;3538;8883;0;0;0;0;0;0;0;3538;8883;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;3538;2;Bogotá;2;Bogotá;99;5
297826946;2014;0;500;500;1000;2000;63;0;0;0;0;63;20827;51026;0;0;0;0;0;0;0;20827;51026;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;20827;2;Bogotá;2;Bogotá;99;5
297826982;2014;0;0;1100;0;1100;113;0;0;0;0;113;22215;55244;0;0;0;0;0;0;0;22215;55244;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;22215;2;Bogotá;2;Bogotá;99;5
296886228;2014;0;0;0;0;0;166;0;0;0;0;166;25758;59939;0;0;0;0;26;9750;0;25784;69689;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;25784;1;Barranquilla;9;Cartagena;99;5
297826663;2014;0;3240;0;0;3240;21;0;0;0;0;21;4205;10571;0;0;0;0;0;0;0;4205;10571;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;4205;2;Bogotá;2;Bogotá;99;5
297826985;2014;0;0;260;0;260;34;0;0;0;0;34;6605;16587;0;0;0;0;0;0;0;6605;16587;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;6605;2;Bogotá;2;Bogotá;99;5
297826986;2014;0;0;1200;0;1200;76;0;0;0;0;76;14784;37123;0;0;0;0;0;0;0;14784;37123;0;0; ; ;0;0;0; ; ;0;0;0; ; ;0;0;0;0;14784;2;Bogotá;2;Bogotá;99;5
