Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297730503;2014;0;0;0;0;0;288;0;0;0;288;NO; ; ; ; ;0;0;0;0;0;9592;0;0;0;9592;9592;9089;1;Barranquilla;16;Santa Marta;99;5
297718312;2014;0;0;0;0;0;608;0;0;0;608;NO; ; ; ; ;0;0;0;0;0;12323;0;0;0;12323;12323;16107;2;Bogotá;2;Bogotá;99;5
297718302;2014;13000;2100;3000;0;18100;1674;0;0;0;1674;SI;a; ; ; ;9568;0;0;0;9568;14352;0;0;0;14352;23920;38750;2;Bogotá;2;Bogotá;99;5
297822448;2014;0;0;0;0;0;166;0;0;0;166;NO; ; ; ; ;0;0;0;0;0;2172;0;0;0;2172;2172;3508;2;Bogotá;2;Bogotá;99;5
297839505;2014;0;0;0;0;0;1088;0;0;0;1088;SI; ;b; ; ;3092;0;0;0;3092;12367;0;0;0;12367;15459;24719;2;Bogotá;2;Bogotá;99;5
297821308;2014;0;0;7850;0;7850;508;0;0;0;508;SI; ;b; ; ;7400;0;0;0;7400;0;0;0;0;0;7400;1937;2;Bogotá;2;Bogotá;99;5
297718360;2014;0;0;0;0;0;281;0;0;0;281;NO; ; ; ; ;0;0;0;0;0;3907;0;0;0;3907;3907;6200;2;Bogotá;2;Bogotá;99;5
297718363;2014;0;0;0;0;0;484;0;0;0;484;SI;a; ; ; ;692;0;0;0;692;6229;0;0;0;6229;6921;11177;2;Bogotá;2;Bogotá;99;5
297718362;2014;0;1200;6612;0;7812;530;0;0;0;530;SI;a; ; ; ;2340;0;0;0;2340;5460;0;0;0;5460;7800;12246;2;Bogotá;2;Bogotá;99;5
297822336;2014;2000;0;0;0;2000;261;0;0;0;261;SI;a; ; ; ;544;0;0;0;544;3086;0;0;0;3086;3630;5662;2;Bogotá;2;Bogotá;99;5
297717006;2014;0;0;414;0;414;208;0;0;0;208;SI;a; ; ; ;591;0;0;0;591;2362;0;0;0;2362;2953;4627;2;Bogotá;2;Bogotá;99;5
297717021;2014;0;0;0;0;0;1018;0;0;0;1018;SI;a; ; ; ;2181;0;0;0;2181;12363;0;0;0;12363;14544;23488;2;Bogotá;2;Bogotá;99;5
297717024;2014;0;0;1250;0;1250;610;0;0;0;610;SI;a; ; ; ;2347;0;0;0;2347;7040;0;0;0;7040;9387;14728;2;Bogotá;2;Bogotá;99;5
297839796;2014;0;0;0;0;0;48;0;0;0;48;NO; ; ; ; ;0;0;0;0;0;684;0;0;0;684;684;1098;2;Bogotá;2;Bogotá;99;5
297818794;2014;0;0;0;0;0;23;0;0;0;23;NO; ; ; ; ;0;0;0;0;0;304;0;0;0;304;304;491;2;Bogotá;2;Bogotá;99;5
283047;2014;0;620;0;0;620;203;0;0;0;203;SI;a; ; ; ;433;0;0;0;433;2453;0;0;0;2453;2886;4439;2;Bogotá;2;Bogotá;99;5
297820580;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;3198;0;0;0;3198;3198;0;2;Bogotá;85;Yopal;99;5
452232;2014;0;0;2000;0;2000;0;0;0;0;0;SI;a; ; ; ;0;0;1107;0;1107;0;0;0;0;0;1107;0;2;Bogotá;2;Bogotá;99;5
297823158;2014;0;1500;0;0;1500;0;0;0;0;0;SI;a; ; ; ;686;0;0;0;686;6176;0;0;0;6176;6862;14524;2;Bogotá;2;Bogotá;99;5
297718330;2014;0;0;0;0;0;293;0;0;0;293;NO; ; ; ; ;0;0;0;0;0;4098;0;0;0;4098;4098;6433;2;Bogotá;2;Bogotá;99;5
297821918;2014;0;0;0;0;0;120;0;0;0;120;NO; ; ; ; ;0;0;0;0;0;1733;0;0;0;1733;1733;2734;2;Bogotá;2;Bogotá;99;5
297822767;2014;0;0;0;0;0;259;0;0;0;214;NO; ; ; ; ;0;0;0;0;0;3036;0;0;0;3036;3036;4818;2;Bogotá;2;Bogotá;99;5
297822929;2014;0;0;0;0;0;0;0;0;0;0;SI; ;b; ; ;0;5017;0;0;5017;0;0;0;0;0;5017;0;2;Bogotá;2;Bogotá;99;5
297827029;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;470;0;0;0;470;470;188;2;Bogotá;91;Leticia;99;5
